Scenario Name,Ticks,Total Injected,Repair Injected,Delivered,Total Drops,Control Reports,Control Blocks,Repair Blocks,Total Waiting Offset Ticks,Pending Reports,Pending Repairs,Unrecovered Packets,Capacity,Buffer Limit,Tenant Rates,Collective CCTs
smoke__no-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,16,400,0,528,484,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__rack-compact__g4__c1__p100__b16__s1,37,400,616,1200,616,616,30.800000000000303,616,0,0,0,0,10,16,10|0|0|0,red:37
smoke__static-lossless-rate__rack-compact__g4__c1__p100__b16__s1,38,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:38
smoke__intermediate-rate__rack-compact__g4__c1__p100__b16__s1,36,400,470,1200,470,470,23.5000000000002,470,0,0,0,0,10,16,7|0|0|0,red:36
smoke__member-formula-rate__rack-compact__g4__c1__p100__b16__s1,38,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:38
smoke__sequential-smart-recovery__rack-compact__g4__c1__p100__b16__s1,56,400,0,1200,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:56
smoke__phase-offset-smart-recovery__rack-compact__g4__c1__p100__b16__s1,37,400,595,1200,595,595,29.750000000000288,595,3,0,0,0,10,16,10|0|0|0,red:37
smoke__no-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,16,800,0,1056,968,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__rack-compact__g4__c2__p100__b16__s1,37,800,1232,2400,1232,1232,61.59999999999864,1232,0,0,0,0,10,16,10|10|0|0,red:37|green:37
smoke__static-lossless-rate__rack-compact__g4__c2__p100__b16__s1,38,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:38|green:38
smoke__intermediate-rate__rack-compact__g4__c2__p100__b16__s1,36,800,940,2400,940,940,46.99999999999947,940,0,0,0,0,10,16,7|7|0|0,red:36|green:36
smoke__member-formula-rate__rack-compact__g4__c2__p100__b16__s1,38,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:38|green:38
smoke__sequential-smart-recovery__rack-compact__g4__c2__p100__b16__s1,56,800,0,2400,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:56|green:56
smoke__phase-offset-smart-recovery__rack-compact__g4__c2__p100__b16__s1,38,800,1174,2400,1174,1174,58.6999999999988,1174,10,0,0,0,10,16,10|10|0|0,red:37|green:38
smoke__no-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,19,800,0,1344,1480,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__rack-compact__g8__c1__p100__b16__s1,68,800,3520,4478,3602,3520,176.00000000000577,3520,0,0,0,82,10,16,10|0|0|0,red:FAILED
smoke__static-lossless-rate__rack-compact__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__intermediate-rate__rack-compact__g8__c1__p100__b16__s1,80,800,3692,5228,3868,3696,184.80000000000777,3692,0,0,0,48,10,16,6|0|0|0,red:FAILED
smoke__member-formula-rate__rack-compact__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__sequential-smart-recovery__rack-compact__g8__c1__p100__b16__s1,128,800,0,5600,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:128
smoke__phase-offset-smart-recovery__rack-compact__g8__c1__p100__b16__s1,68,800,3528,4547,3609,3528,176.40000000000586,3528,7,0,0,77,10,16,10|0|0|0,red:FAILED
smoke__no-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,19,1600,0,2688,2960,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__rack-compact__g8__c2__p100__b16__s1,68,1600,7050,8938,7232,7050,352.5000000000459,7050,0,0,0,182,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__static-lossless-rate__rack-compact__g8__c2__p100__b16__s1,106,1600,0,11200,0,0,0,0,0,0,0,0,10,16,1|1|0|0,red:106|green:106
smoke__intermediate-rate__rack-compact__g8__c2__p100__b16__s1,80,1600,7392,10458,7740,7398,369.90000000004983,7392,0,0,0,96,10,16,6|6|0|0,red:FAILED|green:FAILED
smoke__member-formula-rate__rack-compact__g8__c2__p100__b16__s1,106,1600,0,11200,0,0,0,0,0,0,0,0,10,16,1|1|0|0,red:106|green:106
smoke__sequential-smart-recovery__rack-compact__g8__c2__p100__b16__s1,128,1600,0,11200,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:128|green:128
smoke__phase-offset-smart-recovery__rack-compact__g8__c2__p100__b16__s1,78,1600,7107,9231,7271,7107,355.3500000000465,7107,22,0,0,143,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__no-recovery-max-rate__global-spread__g4__c1__p100__b16__s1,17,400,0,424,776,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__global-spread__g4__c1__p100__b16__s1,52,400,776,1200,776,776,38.79999999999993,776,0,0,0,0,10,16,10|0|0|0,red:52
smoke__static-lossless-rate__global-spread__g4__c1__p100__b16__s1,40,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:40
smoke__intermediate-rate__global-spread__g4__c1__p100__b16__s1,56,400,592,1200,592,592,29.600000000000286,592,0,0,0,0,10,16,7|0|0|0,red:56
smoke__member-formula-rate__global-spread__g4__c1__p100__b16__s1,40,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:40
smoke__sequential-smart-recovery__global-spread__g4__c1__p100__b16__s1,64,400,0,1200,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:64
smoke__phase-offset-smart-recovery__global-spread__g4__c1__p100__b16__s1,52,400,746,1200,746,746,37.30000000000002,746,3,0,0,0,10,16,10|0|0|0,red:52
smoke__no-recovery-max-rate__global-spread__g4__c2__p100__b16__s1,17,800,0,848,1552,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__global-spread__g4__c2__p100__b16__s1,52,800,1552,2400,1552,1552,77.59999999999773,1552,0,0,0,0,10,16,10|10|0|0,red:52|green:52
smoke__static-lossless-rate__global-spread__g4__c2__p100__b16__s1,40,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:40|green:40
smoke__intermediate-rate__global-spread__g4__c2__p100__b16__s1,56,800,1184,2400,1184,1184,59.199999999998774,1184,0,0,0,0,10,16,7|7|0|0,red:56|green:56
smoke__member-formula-rate__global-spread__g4__c2__p100__b16__s1,40,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:40|green:40
smoke__sequential-smart-recovery__global-spread__g4__c2__p100__b16__s1,64,800,0,2400,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:64|green:64
smoke__phase-offset-smart-recovery__global-spread__g4__c2__p100__b16__s1,52,800,1452,2400,1452,1452,72.59999999999802,1452,10,0,0,0,10,16,10|10|0|0,red:52|green:52
smoke__no-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,19,800,0,1136,1776,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__global-spread__g8__c1__p100__b16__s1,88,800,3640,5551,3704,3640,182.00000000000713,3640,0,0,0,39,10,16,10|0|0|0,red:FAILED
smoke__static-lossless-rate__global-spread__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__intermediate-rate__global-spread__g8__c1__p100__b16__s1,89,800,3239,5501,3557,3239,161.95000000000258,3239,0,0,0,23,10,16,6|0|0|0,red:FAILED
smoke__member-formula-rate__global-spread__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__sequential-smart-recovery__global-spread__g8__c1__p100__b16__s1,128,800,0,5600,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:128
smoke__phase-offset-smart-recovery__global-spread__g8__c1__p100__b16__s1,85,800,3731,5400,3948,3736,186.80000000000823,3731,7,0,0,174,10,16,10|0|0|0,red:FAILED
smoke__no-recovery-max-rate__global-spread__g8__c2__p100__b16__s1,19,1600,0,1168,3904,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__global-spread__g8__c2__p100__b16__s1,89,1600,7868,5627,12277,9121,456.0500000000694,7868,0,0,0,502,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__static-lossless-rate__global-spread__g8__c2__p100__b16__s1,162,1600,4035,10424,5630,4669,233.45000000001883,4035,0,0,0,103,10,16,1|1|0|0,red:FAILED|green:FAILED
smoke__intermediate-rate__global-spread__g8__c2__p100__b16__s1,101,1600,7601,6405,12980,9329,466.4500000000718,7601,0,0,0,352,10,16,6|6|0|0,red:FAILED|green:FAILED
smoke__member-formula-rate__global-spread__g8__c2__p100__b16__s1,162,1600,4035,10424,5630,4669,233.45000000001883,4035,0,0,0,103,10,16,1|1|0|0,red:FAILED|green:FAILED
smoke__sequential-smart-recovery__global-spread__g8__c2__p100__b16__s1,404,1600,3118,10556,4406,3762,188.10000000000852,3118,0,0,0,0,10,16,10|10|0|0,red:382|green:FAILED
smoke__phase-offset-smart-recovery__global-spread__g8__c2__p100__b16__s1,95,1600,8217,5697,12912,9372,468.60000000007227,8217,22,0,0,385,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__no-recovery-max-rate__random-balanced__g4__c1__p100__b16__s1,18,400,0,488,524,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__random-balanced__g4__c1__p100__b16__s1,54,400,668,1200,671,668,33.40000000000024,668,0,0,0,0,10,16,10|0|0|0,red:54
smoke__static-lossless-rate__random-balanced__g4__c1__p100__b16__s1,40,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:40
smoke__intermediate-rate__random-balanced__g4__c1__p100__b16__s1,53,400,497,1200,534,497,24.850000000000218,497,0,0,0,0,10,16,7|0|0|0,red:53
smoke__member-formula-rate__random-balanced__g4__c1__p100__b16__s1,40,400,0,1200,0,0,0,0,0,0,0,0,10,16,3|0|0|0,red:40
smoke__sequential-smart-recovery__random-balanced__g4__c1__p100__b16__s1,64,400,0,1200,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:64
smoke__phase-offset-smart-recovery__random-balanced__g4__c1__p100__b16__s1,54,400,674,1200,681,674,33.70000000000022,674,3,0,0,0,10,16,10|0|0|0,red:54
smoke__no-recovery-max-rate__random-balanced__g4__c2__p100__b16__s1,18,800,0,1056,968,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__random-balanced__g4__c2__p100__b16__s1,54,800,1207,2400,1210,1207,60.34999999999871,1207,0,0,0,0,10,16,10|10|0|0,red:54|green:41
smoke__static-lossless-rate__random-balanced__g4__c2__p100__b16__s1,40,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:40|green:40
smoke__intermediate-rate__random-balanced__g4__c2__p100__b16__s1,53,800,921,2400,958,921,46.04999999999952,921,0,0,0,0,10,16,7|7|0|0,red:53|green:42
smoke__member-formula-rate__random-balanced__g4__c2__p100__b16__s1,40,800,0,2400,0,0,0,0,0,0,0,0,10,16,3|3|0|0,red:40|green:40
smoke__sequential-smart-recovery__random-balanced__g4__c2__p100__b16__s1,64,800,0,2400,0,0,0,0,0,0,0,0,10,16,10|10|0|0,red:64|green:64
smoke__phase-offset-smart-recovery__random-balanced__g4__c2__p100__b16__s1,54,800,1188,2400,1195,1188,59.39999999999876,1188,10,0,0,0,10,16,10|10|0|0,red:54|green:43
smoke__no-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,19,800,0,1172,1776,0,0,0,0,0,0,0,10,16,10|0|0|0,red:FAILED
smoke__smart-recovery-max-rate__random-balanced__g8__c1__p100__b16__s1,84,800,3119,5016,3231,3120,156.00000000000122,3119,0,0,0,80,10,16,10|0|0|0,red:FAILED
smoke__static-lossless-rate__random-balanced__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__intermediate-rate__random-balanced__g8__c1__p100__b16__s1,90,800,3054,5239,3331,3055,152.75000000000048,3054,0,0,0,6,10,16,6|0|0|0,red:FAILED
smoke__member-formula-rate__random-balanced__g8__c1__p100__b16__s1,106,800,0,5600,0,0,0,0,0,0,0,0,10,16,1|0|0|0,red:106
smoke__sequential-smart-recovery__random-balanced__g8__c1__p100__b16__s1,128,800,0,5600,0,0,0,0,0,0,0,0,10,16,10|0|0|0,red:128
smoke__phase-offset-smart-recovery__random-balanced__g8__c1__p100__b16__s1,83,800,3227,5047,3363,3229,161.45000000000246,3227,7,0,0,83,10,16,10|0|0|0,red:FAILED
smoke__no-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,19,1600,0,1546,3682,0,0,0,0,0,0,0,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__smart-recovery-max-rate__random-balanced__g8__c2__p100__b16__s1,99,1600,8366,6582,10948,8877,443.85000000006664,8366,0,0,0,601,10,16,10|10|0|0,red:FAILED|green:FAILED
smoke__static-lossless-rate__random-balanced__g8__c2__p100__b16__s1,160,1600,3503,10765,4363,3783,189.15000000000876,3503,0,0,0,98,10,16,1|1|0|0,red:FAILED|green:FAILED
smoke__intermediate-rate__random-balanced__g8__c2__p100__b16__s1,104,1600,8239,7017,11832,9041,452.0500000000685,8239,0,0,0,361,10,16,6|6|0|0,red:FAILED|green:FAILED
smoke__member-formula-rate__random-balanced__g8__c2__p100__b16__s1,160,1600,3503,10765,4363,3783,189.15000000000876,3503,0,0,0,98,10,16,1|1|0|0,red:FAILED|green:FAILED
smoke__sequential-smart-recovery__random-balanced__g8__c2__p100__b16__s1,377,1600,2782,10788,3606,3194,159.70000000000206,2782,0,0,0,0,10,16,10|10|0|0,red:363|green:FAILED
smoke__phase-offset-smart-recovery__random-balanced__g8__c2__p100__b16__s1,102,1600,8191,6671,11107,8805,440.2500000000658,8191,22,0,0,525,10,16,10|10|0|0,red:FAILED|green:FAILED
